Year,England,Scotland ,Northern Ireland,Wales ,Entire UK
2005,163570.0,104859.58333333333,119746.0,127646.91666666667,249549
2006,174351.5,119488.66666666667,153897.5,137162.41666666666,262390
2007,190025.58333333334,137043.08333333334,213660.0,146273.83333333334,269297
2008,182379.91666666666,136634.0,176514.25,138651.33333333334,223507
2009,166558.66666666666,129881.08333333333,141384.25,127657.58333333333,229553
2010,177472.66666666666,131902.0,131723.75,130973.08333333333,220496
2011,175230.0,129489.25,115786.25,128410.66666666667,212111
2012,177488.0,125248.91666666667,102858.0,127898.33333333333,203407
2013,182581.41666666666,125754.58333333333,99925.25,128423.25,212183
2014,197771.08333333334,131664.16666666666,107616.75,134879.08333333334,225514
2015,211174.75,136887.41666666666,115438.0,138631.5,232759
2016,227337.16666666666,138749.25,122972.41666666667,144425.25,237955
2017,238161.16666666666,142835.5,127610.75,150566.25,234936
2018,245017.25,149104.0,133442.5,157401.33333333334,230887
2019,246634.83333333334,151815.83333333334,138093.25,163480.08333333334,227812
2020,253547.91666666666,156087.25,143190.25,169437.0,239753
2021,276136.0833333333,172688.91666666666,155385.5,191063.16666666666,263124
2022,297663.6666666667,185262.0,166451.5,208860.5,273100
