,Year,Average house price adj. by inflation (pounds),Median Salary adj. by inflation (pounds)
0,1999,137401,31551.55
1,2000,145756,32443.92
2,2001,163517,33357.5
3,2002,199821,33898.44
4,2003,224849,34155.19
5,2004,247493,34630.76
6,2005,249549,34950.06
7,2006,262390,34576.58
8,2007,269297,34114.51
9,2008,223507,34337.23
10,2009,229553,35399.83
11,2010,220496,33938.03
12,2011,212111,32524.53
13,2012,203407,31967.65
14,2013,212183,31656.55
15,2014,225514,31159.83
16,2015,232759,31307.83
17,2016,237955,31420.16
18,2017,234936,30939.54
19,2018,230887,30772.44
20,2019,227812,30833.95
21,2020,239753,31487.0
22,2021,263124,31285.0
23,2022,273100,33000.0
