,year,Scotland,Aberdeen City,Aberdeenshire,Angus2,Argyll & Bute,Clackmannanshire3,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
0,2005," 55,155.00 "," 2,707.00 "," 2,832.00 ", 458.00 ," 3,806.00 ", 384.00 ," 2,413.00 "," 1,458.00 ", 576.00 , 329.00 , 865.00 , 310.00 ," 4,270.00 "," 1,070.00 "," 4,780.00 "," 4,571.00 "," 5,850.00 "," 1,260.00 ", 121.00 ," 1,257.00 "," 1,207.00 "," 2,298.00 ", 983.00 , 579.00 ," 2,766.00 "," 1,402.00 "," 2,167.00 ", 531.00 ," 1,013.00 "," 1,046.00 ", 811.00 , 796.00 , 239.00 
1,2006," 52,823.00 "," 2,878.00 "," 2,951.00 ", 429.00 ," 4,228.00 ", 364.00 ," 2,432.00 "," 1,495.00 ", 633.00 , 319.00 , 793.00 , 304.00 ," 4,896.00 ", 905.00 ," 4,792.00 "," 2,286.00 "," 5,835.00 "," 1,045.00 ", 136.00 ," 1,214.00 "," 1,067.00 "," 2,220.00 "," 1,040.00 ", 550.00 ," 2,248.00 "," 1,162.00 "," 2,060.00 ", 403.00 ," 1,079.00 ", 989.00 , 790.00 , 694.00 , 586.00 
2,2007," 55,385.00 "," 2,759.00 "," 2,915.00 ", 452.00 ," 4,371.00 ", 334.00 ," 2,409.00 "," 1,576.00 ", 747.00 , 353.00 , 798.00 , 326.00 ," 5,930.00 ", 861.00 ," 5,216.00 "," 2,567.00 "," 5,753.00 "," 1,009.00 ", 190.00 ," 1,207.00 "," 1,165.00 "," 2,612.00 ", 792.00 , 528.00 ," 2,513.00 "," 1,221.00 "," 2,121.00 ", 549.00 , 963.00 , 963.00 , 812.00 , 674.00 , 699.00 
3,2008," 57,820.00 "," 2,829.00 "," 2,913.00 "," 1,786.00 "," 4,431.00 ", 338.00 ," 2,467.00 "," 1,569.00 ", 736.00 , 367.00 , 877.00 , 341.00 ," 6,319.00 ", 904.00 ," 5,114.00 "," 2,985.00 "," 5,758.00 ", 979.00 , 220.00 ," 1,330.00 "," 1,163.00 "," 2,564.00 ", 721.00 , 584.00 ," 2,304.00 "," 1,198.00 "," 2,160.00 ", 546.00 , 970.00 ," 1,169.00 ", 845.00 , 541.00 , 792.00 
4,2009," 59,229.00 "," 2,986.00 "," 3,149.00 "," 1,831.00 "," 4,611.00 ", 235.00 ," 2,546.00 "," 1,492.00 ", 737.00 , 422.00 , 930.00 , 378.00 ," 6,990.00 ", 944.00 ," 4,356.00 "," 2,965.00 "," 5,915.00 "," 1,009.00 ", 265.00 ," 1,328.00 "," 1,200.00 "," 2,584.00 ", 889.00 , 595.00 ," 2,530.00 "," 1,405.00 "," 2,278.00 ", 525.00 ," 1,010.00 "," 1,383.00 ", 828.00 , 609.00 , 884.00 
5,2010," 62,600.00 "," 3,093.00 "," 3,254.00 "," 1,886.00 "," 4,614.00 ", 324.00 ," 2,578.00 "," 1,655.00 ", 792.00 , 393.00 , 848.00 , 284.00 ," 7,141.00 ", 960.00 ," 5,437.00 "," 3,097.00 "," 5,948.00 "," 1,047.00 ", 369.00 ," 1,553.00 "," 1,274.00 "," 2,653.00 ", 826.00 , 587.00 ," 2,797.00 "," 1,654.00 "," 2,336.00 ", 529.00 , 994.00 ," 1,428.00 ", 834.00 , 545.00 , 870.00 
6,2011," 64,606.00 "," 3,372.00 "," 3,328.00 "," 1,975.00 "," 4,655.00 ", 417.00 ," 2,621.00 "," 1,530.00 ", 815.00 , 390.00 , 869.00 , 309.00 ," 6,935.00 "," 1,039.00 "," 5,775.00 "," 3,561.00 "," 5,982.00 ", 943.00 , 404.00 ," 1,707.00 "," 1,209.00 "," 2,728.00 ", 826.00 , 615.00 ," 2,956.00 "," 1,805.00 "," 2,462.00 ", 530.00 ," 1,014.00 "," 1,328.00 ", 872.00 , 657.00 , 977.00 
7,2012," 66,053.00 "," 3,345.00 "," 3,643.00 "," 1,786.00 "," 4,674.00 ", 364.00 ," 2,700.00 "," 1,572.00 ", 816.00 , 330.00 , 818.00 , 253.00 ," 7,943.00 "," 1,022.00 "," 5,615.00 "," 4,063.00 "," 6,032.00 ", 876.00 , 399.00 ," 1,725.00 "," 1,144.00 "," 2,799.00 ", 870.00 , 658.00 ," 2,954.00 "," 1,986.00 "," 2,520.00 ", 523.00 ," 1,014.00 "," 1,225.00 ", 919.00 , 659.00 , 806.00 
8,2013," 63,061.00 "," 2,780.00 "," 3,558.00 "," 1,655.00 "," 4,383.00 ", 332.00 ," 2,787.00 "," 1,525.00 ", 776.00 , 320.00 , 954.00 , 225.00 ," 6,781.00 "," 1,085.00 "," 5,932.00 "," 3,607.00 "," 5,749.00 ", 789.00 , 447.00 ," 1,653.00 ", 996.00 ," 2,872.00 ", 959.00 , 689.00 ," 2,830.00 "," 1,535.00 "," 2,528.00 ", 531.00 , 961.00 ," 1,155.00 ", 925.00 , 691.00 ," 1,051.00 "
9,2014," 59,763.00 "," 1,306.00 "," 3,174.00 "," 1,498.00 "," 4,737.00 ", 326.00 ," 3,034.00 "," 1,575.00 ", 871.00 , 318.00 , 934.00 , 220.00 ," 4,087.00 "," 1,142.00 "," 7,029.00 "," 3,508.00 "," 5,439.00 ", 770.00 , 442.00 ," 1,571.00 "," 1,035.00 "," 2,904.00 ", 727.00 , 696.00 ," 2,855.00 "," 1,656.00 "," 2,607.00 ", 589.00 , 968.00 ," 1,061.00 "," 1,045.00 ", 614.00 ," 1,025.00 "
